key,en,pl
ALCHEMIST_DIALOGUE_07,"For now, I lack nothing. Yet I have cleared some land beside the house — a place fit for a Garden of Herbs. If time allows, you could gather what’s needed and bring it to life. Of course, you would be welcome to tend it yourself, and grow herbs to aid your craft.","Na razie niczego mi nie brakuje. Jednak oczyściłem kawałek ziemi obok domu — miejsce odpowiednie na Ogród Ziół. Jeśli czas pozwoli, możesz zebrać potrzebne rzeczy i ożywić to miejsce. Oczywiście możesz sam nim zarządzać i uprawiać zioła wspomagające twoje rzemiosło."
ALCHEMIST_DIALOGUE_PATH_07,"Greetings, Master Alchemist. I see your dwelling has already embraced the warmth of a new hearth. Might I be of service?","Witaj, Mistrzu Alchemiku. Widzę, że twój dom już cieszy się ciepłem nowego ogniska. Czy mogę być do usług?"
ALCHEMIST_DIALOGUE_08," Ah, marvelous news! For now, I won’t be using it myself, as the locals still bring me a fair share of herbs. But if you wish, feel free to sow and tend to whatever plants you desire. Naturally, your alchemical knowledge shall guide your hand — the more skilled you are, the rarer the herbs you’ll be able to nurture and harvest.","Ach, wspaniała wiadomość! Na razie nie będę z niego korzystał, bo miejscowi wciąż przynoszą mi sporą część ziół. Ale jeśli chcesz, możesz siać i pielęgnować dowolne rośliny. Oczywiście twoja wiedza alchemiczna poprowadzi twoją rękę — im większe masz umiejętności, tym rzadsze zioła będziesz w stanie uprawiać i zbierać."
ALCHEMIST_DIALOGUE_PATH_08,The garden is complete. The work is done.,Ogród jest ukończony. Praca zakończona.
ARCHTIECT_QUEST_01,Bring the woods,Przynieś drewno
ARCHTIECT_QUEST_02,The stones,Kamienie 
ARCHTIECT_QUEST_03,Talk to the villagers,Porozmawiaj z mieszkańcami 
ARCHTIECT_QUEST_04,Build the tavern,Zbuduj karczmę 
ARCHTIECT_QUEST_05,Find the Bartender,Znajdź barmana 
ARCHTIECT_QUEST_06,Talk to the Bartender,Porozmawiaj z barmanem 
ARCHTIECT_QUEST_07,First Time Beyound The Villige,Pierwszy raz poza wioską 
ARCHTIECT_QUEST_08,Build a Town,Zbuduj miasto
ARCHITECT_DIALOGUE_01,Ask! I no have all day for you. But actuly I have...,Pytaj! Nie mam dla ciebie całego dnia. Ale właściwie to mam…
ARCHITECT_DIALOGUE_PATH_01,I have some questions.,Mam kilka pytań. 
ARCHITECT_DIALOGUE_02,"I am Balamur, architect. Sent to these lands with no reason but a whisper. They spoke of opportunity, of value in the mire — but what is value here? Stones that bleed? Towers that scream in windless dark? I ask, and no one answers. Only the soil speaks, and it says nothing kind. Still… I build. Because if I do not shape this land, it will shape me. And I would rather die a builder than rot as stone.","Jestem Balamur, architekt. Wysłany na te ziemie bez powodu, poza szeptem. Mówiono o szansie, o wartości w bagnie — ale czym jest wartość tutaj? Kamienie, które krwawią? Wieże, które krzyczą w bezwietrznej ciemności? Pytam i nikt nie odpowiada. Tylko ziemia przemawia i nie mówi nic miłego. Mimo to… buduję. Bo jeśli nie ukształtuję tej ziemi, ona ukształtuje mnie. A wolę umrzeć jako budowniczy niż gnić jak kamień."
ARCHITECT_DIALOGUE_PATH_02,Who are you?,Kim jesteś? 
ARCHITECT_DIALOGUE_03,"Yes... I need wood. Not much. Just enough to raise the bones of a tavern — a place where men might forget they were sent here to be forgotten. If you can find dry timber that hasn’t been cursed or carved with glyphs of hunger, bring it. I’ll make it stand — even if the land wants it to fall.","Tak… Potrzebuję drewna. Niewiele. Tylko tyle, by postawić szkielet karczmy — miejsca, gdzie ludzie mogą zapomnieć, że zostali tu wysłani, by być zapomnianymi. Jeśli znajdziesz suche drewno, które nie zostało przeklęte ani wyryte runami głodu, przynieś je. Postawię je — nawet jeśli ziemia chce, by upadło."
ARCHITECT_DIALOGUE_PATH_03,"Can I help you with something, Balamur?","Czy mogę ci w czymś pomóc, Balamur?"
ARCHITECT_DIALOGUE_04,Good bye.,Do widzenia.
ARCHITECT_DIALOGUE_PATH_04,Cya,Na razie.
ARCHITECT_DIALOGUE_05,Good. Viliger will handle the cutting — I’ll start drawing the bones of the tavern.,Dobrze. Mieszkaniec zajmie się ścinką — ja zacznę rysować szkielet karczmy.
ARCHITECT_DIALOGUE_PATH_05,I have wood.,Mam drewno.
ARCHITECT_DIALOGUE_06,"I forgot the stones! Can you believe that? Stones — the spine of every damn thing I build! Bring me some, and I swear by whatever gods are still listening — I’ll build that tavern. I'll make it stand if it kills me.","Zapomniałem kamieni! Możesz w to uwierzyć? Kamienie — kręgosłup każdej przeklętej rzeczy, którą buduję! Przynieś mi trochę, a przysięgam na wszystkich bogów, którzy jeszcze słuchają — zbuduję tę karczmę. Postawię ją, nawet jeśli mnie to zabije."
ARCHITECT_DIALOGUE_PATH_06,I can see it on your face — what happened?,Widzę to po twojej twarzy — co się stało?
ARCHITECT_DIALOGUE_07,Of course! Come back later — you’ll see what I build.,"Oczywiście! Wróć później — zobaczysz, co zbuduję."
ARCHITECT_DIALOGUE_PATH_07,"The stones are here. So, will you at last build the tavern?",Kamienie są tutaj. Więc czy w końcu zbudujesz tę karczmę?
ARCHITECT_DIALOGUE_08,"Listen — before we lay a single brick, you should get to know the people who’ll be walking through these walls.Go. Talk to the locals. Shake a few hands, learn a few names — let them know you're not just another stranger passing through.Come back when you're done, and we’ll figure out the next step.","Słuchaj — zanim położymy choć jeden mur, powinieneś poznać ludzi, którzy będą przechodzić przez te ściany. Idź. Porozmawiaj z miejscowymi. Uścisnij kilka rąk, naucz się kilku imion — daj im znać, że nie jesteś tylko kolejnym obcym przechodzącym przez miasto. Wróć, kiedy skończysz, a wtedy ustalimy następny krok."
ARCHITECT_DIALOGUE_PATH_08,"What can I do for you, Balamur?","Co mogę dla ciebie zrobić, Balamur? "
ARCHITECT_DIALOGUE_09,"You actually did it — walked their dusty roads, heard their stories, shook their hands.Good. That means you’re not just some passing shadow.","Naprawdę to zrobiłeś — przeszedłeś ich zakurzone drogi, wysłuchałeś historii, uścisnąłeś ręce. Dobrze. To znaczy, że nie jesteś tylko przelotnym cieniem. "
ARCHITECT_DIALOGUE_PATH_09,I already talk with all villigers.,Ja już rozmawiam ze wszystkimi mieszkańcami wioski. 
ARCHITECT_DIALOGUE_10,"Ah, yes, I almost forgot! What this place truly needs is a tavern — a gathering spot for travelers, workers, and locals alike. It will bring life and warmth back to these ruins. Could you take on the task of building the tavern? I can help with the plans, but the hands and strength are yours.","Ah, tak, prawie zapomniałem! To, czego to miejsce naprawdę potrzebuje, to karczma — miejsce spotkań podróżnych, pracowników i miejscowych. Przywróci życie i ciepło tym ruinom. Czy mógłbyś podjąć się zadania zbudowania karczmy? Mogę pomóc w planach, ale ręce i siła należą do ciebie. "
ARCHITECT_DIALOGUE_PATH_10,What else can I do for you?,Co jeszcze mogę dla ciebie zrobić? 
ARCHITECT_DIALOGUE_11,"Yes, it stands tall — timber strong, stone firm. You’ve done well. But a tavern is more than just walls. It needs people, spirit… life.","Tak, stoi wysoko — drewno mocne, kamień solidny. Poradziłeś sobie świetnie. Ale karczma to więcej niż tylko ściany. Potrzebuje ludzi, ducha… życia. "
ARCHITECT_DIALOGUE_PATH_11,I see the tavern is built.,"Widzę, że karczma jest zbudowana. "
ARCHITECT_DIALOGUE_12,"What else can you do? Well… we need a barkeeper. I heard one was kidnapped by goblins. He was traveling to take up the post here but never arrived. Last seen near the old ruins to the east. If you’re willing, go there and try to rescue him. You can also speak with the villagers. Some of them may have problems that need solving — and earning their trust could help us rebuild faster.","Co jeszcze możesz zrobić? Cóż… potrzebujemy karczmarza. Słyszałem, że jeden został porwany przez gobliny. Podróżował tutaj, by objąć stanowisko, ale nigdy nie dotarł. Ostatnio widziany w pobliżu starych ruin na wschodzie. Jeśli jesteś gotów, idź tam i spróbuj go uratować. Możesz też porozmawiać z mieszkańcami. Niektórzy mogą mieć problemy do rozwiązania — zdobycie ich zaufania może pomóc nam szybciej odbudować wioskę. "
ARCHITECT_DIALOGUE_PATH_12,Can I help you something else?,Czy mogę ci w czymś jeszcze pomóc? 
ARCHITECT_DIALOGUE_13,"You found him? By the Stones, that’s incredible! Well done, truly. The goblins must have put up a fight. He’ll need some rest, but knowing him, he’ll be wiping mugs and telling tall tales before the sun sets.This tavern will have a proper soul now — thanks to you. The villagers are already gathering. Music, warmth… yes, it’s starting to feel like a real town again.","Znalazłeś go? Na kamienie, to niesamowite! Świetna robota, naprawdę. Gobliny musiały stawiać opór. Będzie potrzebował odpoczynku, ale znając go, zanim zajdzie słońce już będzie wycierał kufle i opowiadał wysokie historie. Ta karczma ma teraz prawdziwą duszę — dzięki tobie. Mieszkańcy już się zbierają. Muzyka, ciepło… tak, znowu zaczyna przypominać prawdziwe miasteczko. "
ARCHITECT_DIALOGUE_PATH_13,I found a barkeeper in the goblin's cave.,Znalazłem karczmarza w jaskini goblinów. 
ARCHITECT_DIALOGUE_14,"You’ve done more than enough for now, friend. I no longer need your help — at least for the moment.Why don’t you go have a word with Bartus? He’s inside the tavern now, probably setting up the first barrels. I have a feeling he’s got stories to tell… and maybe a few favors to ask.","Zrobiłeś już więcej niż wystarczająco, przyjacielu. Na razie nie potrzebuję już twojej pomocy. Dlaczego nie pójdziesz porozmawiać z Bartusem? Jest teraz w karczmie, pewnie ustawia pierwsze beczki. Mam przeczucie, że ma historie do opowiedzenia… i może kilka przysług do poproszenia. "
ARCHITECT_DIALOGUE_PATH_14,Do you need my help?,Czy potrzebujesz mojej pomocy? 
ARCHITECT_DIALOGUE_15,"Well done! By tomorrow, you might just welcome a brand-new, glorious tavern! Ha! Nothing like the smell of fresh timber and a barrel of ale at sunrise!","Świetnie! Już jutro możesz powitać nową, wspaniałą karczmę! Ha! Nic nie pachnie tak dobrze jak świeże drewno i beczka piwa o wschodzie słońca!"
ARCHITECT_DIALOGUE_PATH_15,I’ve commissioned the construction of the tavern.,Zleciłem budowę karczmy. 
ARCHITECT_DIALOGUE_16,"Not much for me, no.You should head out beyond the village — ask around, maybe someone could use a hand.And those goblins… they’re always lurking, making trouble.Hunting them down is always a task worth taking.","Dla mnie niewiele do roboty. Powinieneś wyjść poza wioskę — zapytać wokoło, może ktoś potrzebuje pomocy. A te gobliny… zawsze się czają, robiąc kłopoty. Polowanie na nie zawsze jest warte podjęcia."
ARCHITECT_DIALOGUE_PATH_16,Is there anything else I can do for you?,Czy mogę dla ciebie zrobić coś jeszcze?
ARCHITECT_DIALOGUE_17,"Hmm, I’m glad you asked. My mission here is to restore this place to its former glory. If you’re willing, you can help me. The tavern is already built, but the rest still lies ahead. Check the book – it holds the next steps we must take.","Hmm, cieszę się, że pytasz. Moim zadaniem tutaj jest przywrócenie temu miejscu dawnej świetności. Jeśli chcesz, możesz mi pomóc. Karczma jest już zbudowana, ale reszta dopiero przed nami. Sprawdź księgę — zawiera kolejne kroki, które musimy podjąć."
ARCHITECT_DIALOGUE_PATH_17,So… what else can we do?,Więc… co jeszcze możemy zrobić?
ARCHITECT_DIALOGUE_18,"At last! My duty is fulfilled. I shall send word to our queen at once – news that the mission is complete. Perhaps now, at long last, I may leave this cursed place…","Wreszcie! Moja misja została wypełniona. Niezwłocznie przekażę wieści naszej królowej — że misja jest zakończona. Może teraz, w końcu, będę mógł opuścić to przeklęte miejsce…"
ARCHITECT_DIALOGUE_PATH_18, believe we’ve succeeded in rebuilding the city.,"Wierzę, że udało nam się odbudować miasto. "
BARTENDER_QUEST_01,The Missing Blacksmith,Zaginiony Kowal
BARTENDER_QUEST_02,Usuccessful hunt.,Nieudane polowanie
BARTENDER_QUEST_03,The Lost Guard,Zaginiony Strażnik
BARTENDER_QUEST_04,A failed experiment,Nieudany eksperyment
BARTENDER_QUEST_05,Old soldier,Stary żołnierz
BARTENDER_QUEST_06,"Enchanter, magician, scholar","Czarodziej, mag, uczony"
BARTENDER_QUEST_07,Lost faith,Utracona wiara
BARTENDER_DIALOGUE_00,"Hello traveler! Welcome, welcome. What's bringing you here?","Witaj, podróżniku! Witaj, witaj. Co cię tutaj sprowadza?"
BARTENDER_DIALOGUE_PATH_00,Can I talk about something else?,Czy mogę porozmawiać o czymś innym?
BARTENDER_DIALOGUE_01,"I am an innkeeper, probably the only one on the island. I try to cheer up the locals by selling beer or a good warm meal. My name is Bartus by the way.","Jestem karczmarzem, prawdopodobnie jedynym na wyspie. Staram się rozweselić miejscowych, sprzedając piwo lub dobry, ciepły posiłek. Nazywam się Bartus, tak przy okazji."
BARTENDER_DIALOGUE_PATH_01,Who are you?,Kim jesteś?
BARTENDER_DIALOGUE_02,"You can try going to the arena, maybe the local fight organizer will have a small challenge for you. You can also go to the notice board to see if anyone has posted a request. It is possible that some citizens have some personal requests.","Możesz spróbować pójść na arenę, może miejscowy organizator walk będzie miał dla ciebie małe wyzwanie. Możesz też zajrzeć na tablicę ogłoszeń, żeby sprawdzić, czy ktoś zamieścił prośbę. Możliwe, że niektórzy mieszkańcy mają osobiste zadania do wykonania."
BARTENDER_DIALOGUE_PATH_02,Can I do something in this place?,Czy mogę coś zrobić w tym miejscu?
BARTENDER_DIALOGUE_03,"You are in the north of the island that we have come to call Azsharan. Part of the island is inhabited by humans, while the rest is inhabited by orcs and goblins. So I do not recommend venturing to the south of the island.","Jesteś na północy wyspy, którą zaczęliśmy nazywać Azsharan. Część wyspy jest zamieszkana przez ludzi, reszta przez orków i gobliny. Dlatego nie polecam zapuszczać się na południe wyspy."
BARTENDER_DIALOGUE_PATH_03,What is this place?,Czym jest to miejsce?
BARTENDER_DIALOGUE_04,"Ohh, don't warry about me. Goodbye!","Och, nie martw się o mnie. Do widzenia!"
BARTENDER_DIALOGUE_PATH_04,"Thank you, take care of yourself. Farewall","Dziękuję, dbaj o siebie. Żegnaj."
BARTENDER_DIALOGUE_05,"Ah... Then hear this — we have a dire problem. We've heard that a kind blacksmith was taken by goblins, dragged away screaming into the caves beneath the Goblin’s Cave. Perhaps you could go there and see if he's truly being held within?","Ah… Posłuchaj tego — mamy poważny problem. Słyszeliśmy, że dobry kowal został porwany przez gobliny i wciągnięty krzycząc do jaskiń pod Jaskinią Goblinów. Może mógłbyś tam pójść i sprawdzić, czy faktycznie przetrzymują go w środku?"
BARTENDER_DIALOGUE_PATH_05,Can I help you with something?,Czy mogę ci w czymś pomóc?
BARTENDER_DIALOGUE_06,"Help me? You’ve already helped me, but apparently there are some gnolls lurking in the nearby caves. They might know something about a blacksmith who used to work in the area. If you happen to head that way, try to look out for him.","Pomóc mi? Już mi pomogłeś, ale podobno w jaskiniach niedaleko grasują gnolle. Mówi się, że mogą wiedzieć coś o kowalu, który kiedyś pracował w tej okolicy. Jeśli będziesz się tam wybierać, spróbuj się za nim rozejrzeć."
BARTENDER_DIALOGUE_PATH_06,"Hello, Balamur told me that you may need help.","Cześć, Balamur powiedział mi, że możesz potrzebować pomocy."
BARTENDER_DIALOGUE_07,"Ah… you haven’t heard? Then listen closely. A hunter from the northern woods went missing a few days ago. They say he ventured too deep into the Black Forest, chasing something no one should ever pursue. He hasn’t been seen since. Locals believe you should take another look at the Goblin’s Cave — after all, that’s where you found the blacksmith. Maybe the goblins have a hand in this too.","Ah… jeszcze nie słyszałeś? Słuchaj uważnie. Myśliwy z północnych lasów zaginął kilka dni temu. Mówią, że zapuścił się zbyt głęboko w Czarny Las, ścigając coś, czego nikt nie powinien gonić. Od tego czasu go nie widziano. Miejscowi uważają, że powinieneś zajrzeć jeszcze raz do Jaskini Goblinów — w końcu tam znalazłeś kowala. Może gobliny mają w tym swój udział."
BARTENDER_DIALOGUE_PATH_07,Did you hear any rumors?,Słyszałeś jakieś plotki?
BARTENDER_DIALOGUE_08,Have you heard about the missing guard?The townsfolk once asked a knight to recover their stolen goods from a group of bandits. He never returned. Most say there were too many of them — that they took him for ransom. But no ransom demand ever came.Maybe you'd be willing to head into the Black Forest… and take a look around their camp?,"Słyszałeś o zaginionym strażniku? Mieszkańcy poprosili kiedyś rycerza, żeby odzyskał skradzione dobra od grupy bandytów. Nigdy nie wrócił. Większość mówi, że było ich zbyt wielu — prawdopodobnie wzięli go dla okupu. Ale nigdy nie nadeszło żadne żądanie okupu. Może zechcesz udać się do Czarnego Lasu i sprawdzić ich obóz?"
BARTENDER_DIALOGUE_PATH_08,Heard anything strange lately?,Słyszałeś ostatnio coś dziwnego?
BARTENDER_DIALOGUE_09,"Oh yes, something always comes up. Balamur, the local architect, mentioned that a villager once spoke of an alchemist who used to live nearby. Apparently, he vanished without a trace. Balamur suspects he may have been taken by bandits, hoping for a ransom — though the villagers could hardly afford such a thing. The architect is offering a reward if someone finds him and brings him back safely. Perhaps this is something you'd be interested in?","Och tak, zawsze coś się dzieje. Balamur, miejscowy architekt, wspomniał, że jeden mieszkaniec mówił kiedyś o alchemiku, który mieszkał w pobliżu. Podobno zniknął bez śladu. Balamur podejrzewa, że mogli go porwać bandyci, licząc na okup — choć mieszkańców raczej na to nie stać. Architekt oferuje nagrodę, jeśli ktoś go odnajdzie i bezpiecznie przyprowadzi. Może to coś, czym byłbyś zainteresowany?"
BARTENDER_DIALOGUE_PATH_09,Are there any other things I could do?,"Czy są jeszcze inne rzeczy, które mógłbym zrobić?"
BARTENDER_DIALOGUE_10,"Yes, there used to be an arena here, where an old soldier organized fights for money. It was not only entertainment for the locals but also a way to train and earn some coin.That mercenary you freed from the bandits a while back mentioned he headed into Orc lands. Crazy man… Those beasts aren’t just strong — they’re cunning too.If I were you, I’d stay in the village. But if you want… suit yourself.","Tak, kiedyś była tu arena, gdzie stary żołnierz organizował walki za pieniądze. Była to nie tylko rozrywka dla mieszkańców, ale też sposób na trening i zarobek. Ten najemnik, którego uratowałeś od bandytów jakiś czas temu, wspomniał, że udał się na ziemie orków. Szalony człowiek… Te bestie nie są tylko silne — są też przebiegłe. Gdybym był tobą, zostałbym we wiosce. Ale jeśli chcesz… proszę bardzo."
BARTENDER_DIALOGUE_PATH_10, Can I help find someone else?,Czy mogę pomóc w odnalezieniu kogoś jeszcze?
BARTENDER_DIALOGUE_11,"Perhaps this tale will pique your interest... Once, a sorcerer came to my tavern — a peculiar, mysterious man, as if from another realm. He spoke of the art of enchanting objects, granting them magical powers, and claimed he could teach it to anyone. Yet no one would listen, so he gathered his belongings and ventured into the unknown. A local told me he headed toward the old graveyard. I called him mad. They say an ancient necromancer has risen the dead there. They’re not hostile yet, but if the sorcerer went there... well, he’s surely lost now.","Być może ta opowieść wzbudzi twoje zainteresowanie… Pewnego razu czarodziej przyszedł do mojej karczmy — dziwny, tajemniczy człowiek, jakby z innego wymiaru. Mówił o sztuce zaklinania przedmiotów, nadawaniu im mocy magicznych, twierdził, że może tego nauczyć każdego. Nikt go jednak nie słuchał, więc spakował swoje rzeczy i udał się w nieznane. Jeden z mieszkańców powiedział, że udał się w stronę starego cmentarza. Uznałem go za szaleńca. Mówią, że starożytny nekromanta wzniósł tam martwych. Na razie nie są wrogo nastawieni, ale jeśli czarodziej tam poszedł… cóż, na pewno się zgubił."
BARTENDER_DIALOGUE_PATH_11,Can I still find someone?,Czy mogę jeszcze kogoś odnaleźć?
BARTENDER_DIALOGUE_12,"I believe so. Do you remember the mage you aided at the cemetery? Rumor has it that a priest followed him there, hoping to help purge the undead. As you might suspect — things didn’t go as planned. For a long time, the mage believed the priest had perished... but now, since returning to the village, he feels as though something — or someone — is trying to reach out to him. Perhaps it's just a whisper from the past… or perhaps hope still lingers. You should return to the old cemetery ruins. Who knows — the priest might yet be alive.","Wierzę, że tak. Pamiętasz maga, któremu pomagałeś na cmentarzu? Krążą plotki, że kapłan podążył za nim, próbując pomóc oczyścić nieumarłych. Jak możesz się domyślać — sprawy nie poszły zgodnie z planem. Przez długi czas mag uważał, że kapłan zginął… ale teraz, wracając do wioski, czuje, że coś — albo ktoś — próbuje się z nim skontaktować. Może to tylko szept z przeszłości… a może nadzieja jeszcze żyje. Powinieneś wrócić do ruin starego cmentarza. Kto wie — kapłan może jeszcze żyje."
BARTENDER_DIALOGUE_PATH_12,Can I help you? Or other people?,Czy mogę ci pomóc? Albo innym ludziom?
BLACKSMITH_QUEST_00,Reignite the Forge,Rozpalić kuźnię
BLACKSMITH_QUEST_01,Find blacksmith wife,Odnaleźć żonę kowala
BLACKSMITH_DIALOGUE_00,"Hmm, what do you want?","Hmm, czego chcesz?"
BLACKSMITH_DIALOGUE_PATH_00,I want to talk about something else?,Chcę porozmawiać o czymś innym.
BLACKSMITH_DIALOGUE_01,"My name is Jonathan, I am a blacksmith. I am a busy man, so tell me what you want?","Nazywam się Jonathan, jestem kowalem. Jestem zajętym człowiekiem, więc powiedz, czego chcesz."
BLACKSMITH_DIALOGUE_PATH_01,Who are you?,Kim jesteś?
BLACKSMITH_DIALOGUE_02,Farewall,Żegnaj
BLACKSMITH_DIALOGUE_PATH_02,"I have to go, goodbye!","Muszę iść, do widzenia!"
BLACKSMITH_DIALOGUE_03,"Yes, I can show you how to craft simple sword.","Tak, mogę ci pokazać, jak wykonać prosty miecz."
BLACKSMITH_DIALOGUE_PATH_03,Can you teach me something?,Czy możesz mnie czegoś nauczyć?
BLACKSMITH_DIALOGUE_04,"Thank you, stranger. I owe you more than I can repay. My hammer is yours — for reforging, for vengeance, or for hope, whatever you choose.","Dziękuję, nieznajomy. Jestem ci więcej winien, niż mogę spłacić. Mój młot jest twój — do przekuwania, do zemsty lub do nadziei, cokolwiek wybierzesz."
BLACKSMITH_DIALOGUE_PATH_04,I'm glad to see you in good health blacksmith.,"Cieszę się, że widzę cię w dobrym zdrowiu, kowalu."
BLACKSMITH_DIALOGUE_05,"I once forged steel on the battlefield, tempered in blood and fire. But now, my hammer lies silent—until you build me a forge worthy of a soldier’s hand. Only then can I arm us against the coming darkness.","Kiedyś kułem stal na polu bitwy, hartowaną we krwi i ogniu. Ale teraz mój młot leży cicho — dopóki nie zbudujesz mi kuźni godnej ręki żołnierza. Tylko wtedy będę mógł nas uzbroić przeciw nadchodzącej ciemności."
BLACKSMITH_DIALOGUE_PATH_05,"Master Smith, can I aid you with something?","Mistrzu kowalu, mogę ci w czymś pomóc?"
BLACKSMITH_DIALOGUE_06,"You've rekindled more than just a flame — you've restored a soldier’s honor and a warrior’s hope. This forge will breathe fire into our steel, and into our fight for survival. I owe you my hammer, and my life.",Rozpaliłeś więcej niż ogień — przywróciłeś honor żołnierza i nadzieję wojownika. Ta kuźnia tchnie ogień w naszą stal i w naszą walkę o przetrwanie. Jestem ci winien mój młot i moje życie.
BLACKSMITH_DIALOGUE_PATH_06,"I have built your forge, rise you hammer!","Zbudowałem twoją kuźnię, podnieś młot!"
BLACKSMITH_DIALOGUE_07,"Yes, indeed. I never took myself for a fool. My wife may still be alive, yet all I do is plead for help with this cursed forge. In the tavern, whispers speak of her being captured by orcs. ORCS. I’ve never laid eyes on one, but I’ve heard they’re relentless beasts, merciless and cruel.","Tak, rzeczywiście. Nigdy nie uważałem się za głupca. Moja żona może wciąż żyje, a ja proszę tylko o pomoc z tą przeklętą kuźnią. W karczmie krążą plotki, że została pojmana przez orków. ORKI. Nigdy nie widziałem żadnego na oczy, ale słyszałem, że są nieustępliwe, bezlitosne i okrutne."
BLACKSMITH_DIALOGUE_PATH_07,"Master blacksmith, you look like trouble.","Mistrzu kowalu, wyglądasz na kłopot."
BLACKSMITH_DIALOGUE_08,"You’re incredible. Without her, I’d lose what’s left of my mind. Please, accept this reward — it’s all I have. Still, I believe fortune hasn’t abandoned me yet.","Jesteś niesamowity. Bez niej straciłbym resztki rozumu. Proszę, przyjmij tę nagrodę — to wszystko, co mam. Nadal wierzę, że fortuna mnie jeszcze nie opuściła."
BLACKSMITH_DIALOGUE_PATH_08,I found your wife.,Znalazłem twoją żonę.
BLACKSMITH_WIFE_QUEST_00,Stolen Amulet,Skradziony amulet
BLACKSMITH_WIFE_DIALOGUE_00,Hello! Hello! Do you wanna buy something?,Witaj! Witaj! Chcesz coś kupić?
BLACKSMITH_WIFE_DIALOGUE_PATH_00,I want to talk about something else?,Chcę porozmawiać o czymś innym.
BLACKSMITH_WIFE_DIALOGUE_01,I am Joanna. I help my husband to sell weapons and armors that he create. Do you need something?,"Jestem Joanna. Pomagam mojemu mężowi sprzedawać broń i zbroje, które tworzy. Potrzebujesz czegoś?"
BLACKSMITH_WIFE_DIALOGUE_PATH_01,Who are you?,Kim jesteś?
BLACKSMITH_WIFE_DIALOGUE_02,Oh! Save travel,Och! Szczęśliwej podróży
BLACKSMITH_WIFE_DIALOGUE_PATH_02,Goodbye,Do widzenia
BLACKSMITH_WIFE_DIALOGUE_03,"I believe so. Long ago, my husband forged me an amulet as a wedding gift. I told him recently that I had lost it… He told me not to worry, that he would craft me another. But that one held a meaning no new trinket could replace. Since you're wandering these lands, perhaps it may fall into your hands. I suspect bandits took it — I noticed it missing after spending time among the orcs. Should you find it, I shall reward you handsomely.","Wierzę, że tak. Dawno temu mój mąż wykonał dla mnie amulet na prezent ślubny. Ostatnio powiedziałam mu, że go zgubiłam… Powiedział, żebym się nie martwiła, że zrobi mi nowy. Ale tamten miał znaczenie, którego żadna nowa błyskotka nie mogła zastąpić. Skoro wędrujesz po tych ziemiach, może trafi w twoje ręce. Podejrzewam, że zabrali go bandyci — zauważyłam jego brak po czasie spędzonym wśród orków. Jeśli go znajdziesz, sowicie cię wynagrodzę."
BLACKSMITH_WIFE_DIALOGUE_PATH_03,"Greetings, Joanna. Is there anything I might help you with?","Witaj, Joanna. Czy mogę ci w czymś pomóc?"
BLACKSMITH_WIFE_DIALOGUE_04,"Let me see… By the stars, it is mine! This truly is my wedding gift… You have no idea how much this means to me. Thank you, with all my heart. I’ll tell my husband you were the one who found it — he’ll be deeply moved. Once again, thank you… and please, take this pouch of gold as your reward. May it serve you well.","Zobaczmy… Gwiazdy! To moje! To naprawdę mój prezent ślubny… Nie masz pojęcia, ile to dla mnie znaczy. Dziękuję z całego serca. Powiem mężowi, że to ty go znalazłeś — będzie głęboko poruszony. Jeszcze raz dziękuję… i proszę, przyjmij ten worek złota jako nagrodę. Niech dobrze ci służy."
BLACKSMITH_WIFE_DIALOGUE_PATH_04,I believe I’ve found your amulet.,"Wierzę, że znalazłem twój amulet."
BRITH_QUEST_00,Build a Hunter House,Zbudować dom myśliwego
BRITH_QUEST_01,Find Brother,Odnaleźć brata
BRITH_DIALOGUE_00,Hello! Do you want trade?,Witaj! Chcesz handlować?
BRITH_DIALOGUE_PATH_00,I have a questions.,Mam pytanie.
BRITH_DIALOGUE_01,"I'm Brith, I sell bows and leather armor. I can also show you how to make your own armor.","Jestem Brith, sprzedaję łuki i skórzane zbroje. Mogę też pokazać ci, jak zrobić własną zbroję."
BRITH_DIALOGUE_PATH_01,Who are you?,Kim jesteś?
BRITH_DIALOGUE_02,Of course.,Oczywiście.
BRITH_DIALOGUE_PATH_02,Can you teach me something?,Czy możesz mnie czegoś nauczyć?
BRITH_DIALOGUE_03,Good bye.,Do widzenia.
BRITH_DIALOGUE_PATH_03,Cya!,Na razie!
BRITH_DIALOGUE_04,"You must be speaking of my brother. Yes, we used to hunt together in the nearby woods… until the day we were ambushed by bandits. I managed to escape, but then goblins attacked me… and that’s how I ended up in their grasp. I’m glad you showed up. Thank you. Now… I need to rest.","Na pewno mówisz o moim bracie. Tak, kiedyś polowaliśmy razem w pobliskich lasach… aż do dnia, gdy zostaliśmy zaatakowani przez bandytów. Udało mi się uciec, ale potem zaatakowały mnie gobliny… i tak trafiłem w ich szpony. Cieszę się, że się pojawiłeś. Dziękuję. Teraz… muszę odpocząć."
BRITH_DIALOGUE_PATH_04,"I expected to find a hunter, but I see you’re a huntress.","Spodziewałem się znaleźć myśliwego, ale widzę, że jesteś myśliwą."
